dm(%),de(%),dd(%),wm,we,wd,overlap(개교),overlap(%),jaccard
-20,-20,-20,0.4636,0.3711,0.1653,526,100.0,1.0
-20,-20,0,0.4452,0.3564,0.1984,513,97.53,0.9518
-20,-20,20,0.4282,0.3428,0.229,496,94.3,0.8921
-20,0,-20,0.4242,0.4245,0.1513,477,90.68,0.8296
-20,0,0,0.4088,0.409,0.1822,478,90.87,0.8328
-20,0,20,0.3944,0.3946,0.2109,469,89.16,0.8045
-20,20,-20,0.391,0.4695,0.1394,435,82.7,0.705
-20,20,0,0.3779,0.4537,0.1684,430,81.75,0.6913
-20,20,20,0.3656,0.4389,0.1955,428,81.37,0.6859
0,-20,-20,0.5193,0.3326,0.1481,483,91.83,0.8489
0,-20,0,0.5008,0.3207,0.1786,477,90.68,0.8296
0,-20,20,0.4835,0.3096,0.2069,471,89.54,0.8107
0,0,-20,0.4795,0.3838,0.1368,516,98.1,0.9627
0,0,20,0.4488,0.3592,0.192,517,98.29,0.9664
0,20,-20,0.4453,0.4277,0.127,486,92.4,0.8587
0,20,0,0.4316,0.4146,0.1539,490,93.16,0.8719
0,20,20,0.4187,0.4022,0.1791,488,92.78,0.8652
20,-20,-20,0.5645,0.3013,0.1342,447,84.98,0.7388
20,-20,0,0.5462,0.2915,0.1623,448,85.17,0.7417
20,-20,20,0.529,0.2823,0.1886,445,84.6,0.7331
20,0,-20,0.525,0.3502,0.1248,487,92.59,0.8619
20,0,0,0.5091,0.3396,0.1513,488,92.78,0.8652
20,0,20,0.4942,0.3296,0.1762,488,92.78,0.8652
20,20,-20,0.4906,0.3927,0.1166,508,96.58,0.9338
20,20,0,0.4767,0.3816,0.1417,519,98.67,0.9737
20,20,20,0.4636,0.3711,0.1653,526,100.0,1.0
